          楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
Atropa bella-donna,MAXIMUM,18,EXCESSIVE COMPLETE,S,9925508,0,1,1,0,0
Adrenaline Rush,MAXIMUM,17,EXCESSIVE COMPLETE,S,9966499,0,3,3,0,0
clear:wings,MAXIMUM,17,EXCESSIVE COMPLETE,S,9952531,0,1,1,0,0
Xicholauncher,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9897857,0,1,1,0,0
THE凸GENERATOR,MAXIMUM,19,COMPLETE,AAA,9731993,0,6,6,0,0
Chocolate Parade,MAXIMUM,17,EXCESSIVE COMPLETE,S,9912330,0,1,1,0,0
ツマミ戦隊 タテレンジャー,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9895833,0,4,4,0,0
Tribal Trial,MAXIMUM,17,EXCESSIVE COMPLETE,S,9956579,0,8,8,0,0
Barbatos,MAXIMUM,18,EXCESSIVE COMPLETE,S,9965548,0,7,7,0,0
アオアラシ,MAXIMUM,18,EXCESSIVE COMPLETE,S,9987381,0,6,6,0,0
Bye or not,MAXIMUM,17,PERFECT,S,10000000,0,10,10,2,1
VIVID DEBUT!,MAXIMUM,17,EXCESSIVE COMPLETE,S,9969495,0,1,1,0,0
Enigma II,MAXIMUM,17,ULTIMATE CHAIN,S,9997704,0,8,8,2,0
Aurolla,MAXIMUM,18,EXCESSIVE COMPLETE,S,9963249,0,3,3,0,0
Sacrifice Escape: 不条理の模倣による感情と代償,MAXIMUM,17,ULTIMATE CHAIN,S,9989473,0,10,10,2,0
50th Memorial Songs -Beginning Story-,VIVID,16,EXCESSIVE COMPLETE,S,9928474,0,1,1,0,0
Sharkbait,EXHAUST,15,EXCESSIVE COMPLETE,S,9972356,0,1,1,0,0
Sharkbait,MAXIMUM,17,EXCESSIVE COMPLETE,S,9941060,0,5,5,0,0
TENKAICHI ULTIMATE BOSSRUSH MEDLEY,MAXIMUM,19,COMPLETE,AAA+,9857896,0,6,6,0,0
ヒカリユリイカ,MAXIMUM,16,ULTIMATE CHAIN,S,9993306,0,1,1,1,0
び,MAXIMUM,18,EXCESSIVE COMPLETE,S,9911385,0,8,6,0,0
ベビーステップ,MAXIMUM,17,EXCESSIVE COMPLETE,S,9995523,0,4,4,0,0
ARROW RAIN feat. ayame,MAXIMUM,18,COMPLETE,AAA,9767146,0,2,1,0,0
Enjoy This Time,MAXIMUM,17,PERFECT,S,10000000,5748,17,17,3,1
On take SUN,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9880174,0,1,1,0,0
怪盗Ｆの台本～消えたダイヤの謎～,MAXIMUM,18,EXCESSIVE COMPLETE,S,9971313,0,6,6,0,0
君は Fantasista,MAXIMUM,17,EXCESSIVE COMPLETE,S,9995265,0,4,4,0,0
GaLaXyEggPlanT,MAXIMUM,18,EXCESSIVE COMPLETE,S,9955752,0,2,2,0,0
GALAXY BURST,MAXIMUM,18,EXCESSIVE COMPLETE,S,9942388,0,3,3,0,0
クレイジークレイジーダンサーズ,MAXIMUM,17,EXCESSIVE COMPLETE,S,9969644,0,2,2,0,0
消失(Hommarju Remix),MAXIMUM,18,EXCESSIVE COMPLETE,S,9955858,0,5,5,0,0
Jack-the-Ripper◆,EXHAUST,16,COMPLETE,S,9960132,0,1,1,0,0
Jack-the-Ripper◆,MAXIMUM,18,EXCESSIVE COMPLETE,S,9945527,0,4,4,0,0
全力ハッピーライフ,MAXIMUM,17,EXCESSIVE COMPLETE,S,9990684,0,2,2,0,0
Believe (y)our Wings {V:IVID RAYS},MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9805542,0,1,1,0,0
Believe (y)our Wings {GRA5P WAVES},MAXIMUM,17,EXCESSIVE COMPLETE,S,9952215,0,3,2,0,0
Princess Lily,MAXIMUM,17,COMPLETE,S,9975113,0,1,1,0,0
真夏の蜜と唇 fm. 希望の星は青霄に昇る,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9846534,0,1,1,0,0
lEyl,MAXIMUM,18,ULTIMATE CHAIN,S,9980009,0,10,10,1,0
Revolution,MAXIMUM,17,ULTIMATE CHAIN,S,9984147,0,8,8,2,0
V,MAXIMUM,18,EXCESSIVE COMPLETE,S,9923884,0,4,4,0,0
ULTRAVELOCITY,MAXIMUM,18,EXCESSIVE COMPLETE,S,9905462,0,2,1,0,0
ΣmbryØ,EXHAUST,18,EXCESSIVE COMPLETE,S,9957592,0,6,5,0,0
ΣmbryØ,MAXIMUM,20,EXCESSIVE COMPLETE,S,9901110,9042,32,26,0,0
Cross Fire,EXHAUST,17,EXCESSIVE COMPLETE,S,9956999,0,4,3,0,0
Cross Fire,MAXIMUM,19,EXCESSIVE COMPLETE,S,9911690,0,8,4,0,0
GODHEART,EXHAUST,17,EXCESSIVE COMPLETE,S,9949053,0,3,2,0,0
GODHEART,MAXIMUM,19,EXCESSIVE COMPLETE,S,9905362,0,7,6,0,0
THE HEAVEN,MAXIMUM,18,EXCESSIVE COMPLETE,S,9955522,0,7,5,0,0
祝福の色彩は想い結ぶ君たち迄,MAXIMUM,18,PLAYED,AAA+,9850062,0,1,0,0,0
Destiny,EXHAUST,16,PERFECT,S,10000000,0,4,4,2,1
Destiny,MAXIMUM,18,ULTIMATE CHAIN,S,9992104,7538,27,23,1,0
